name,unit_name,image_ipfs_cid,has_clawback,has_freeze,total_supply,decimals,description,metadata_property_Initial_Supply,metadata_property_Conversation,metadata_property_Duration_in_seconds,metadata_property_Media_Type,mime_type,filters_collection,filters_artist
MIDSOMAR 0,HMS_00,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/00_midsomar_compressed.mp4,N,N,77,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",77,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 1,HMS_01,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/01_midsomar_compressed.mp4,N,N,76,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",76,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 2,HMS_02,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/02_midsomar_compressed.mp4,N,N,75,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",75,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 3,HMS_03,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/03_midsomar_compressed.mp4,N,N,74,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",74,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 4,HMS_04,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/04_midsomar_compressed.mp4,N,N,73,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",73,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 5,HMS_05,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/05_midsomar_compressed.mp4,N,N,72,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",72,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 6,HMS_06,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/06_midsomar_compressed.mp4,N,N,71,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",71,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 7,HMS_07,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/07_midsomar_compressed.mp4,N,N,70,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",70,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 8,HMS_08,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/08_midsomar_compressed.mp4,N,N,69,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",69,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
MIDSOMAR 9,HMS_09,bafybeifrxhtel4v7szmctnmz5pdw2yqsrod2qumsr5rjkdr3tgrft6wk2y/09_midsomar_compressed.mp4,N,N,68,0,"MIDSOMAR.PN4 is an experimental recursive video art project. The series are inspired by math and depict a Midsommar bonfire from the beginning to the end. There are 77 NFTs, indexed from 0 to 76, where 0 has 77 editions (supply), 1 has 76 supply and so on until last NFT 76 with supply of one. Total supply is 3003, a palindrome and a pn4 number with factors of 3x7x11x13. Holders can combine 3, 7, 11 or 13 clips together to receive a longer part of the whole as a new NFT from the creator. The parts used for creating a merged video will be burned.",68,...,3,still image,video/mp4,MIDSOMAR_PN4,Hampelman
